iteration,jaccard
1,0.8916666666666666
2,1.0
3,0.9544642857142858
4,0.9527777777777777
5,0.8826135105204873
6,0.9022556390977443
7,0.863225806451613
8,1.0
9,1.0
10,1.0
11,0.889520202020202
12,0.9160951996772893
13,0.9112249253094323
14,0.8543956043956045
15,0.8738095238095238
16,1.0
17,1.0
18,1.0
19,0.9536574284416175
20,1.0
21,1.0
22,0.5465587044534412
23,0.8344385499557914
24,0.91875
25,0.975293542074364
26,0.9331168831168831
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,0.9228271728271729
33,0.9319982394366197
34,0.6812638580931263
35,0.9767281105990784
36,1.0
37,1.0
38,0.86875
39,0.8980186480186481
40,0.863225806451613
41,0.9201228878648233
42,0.9280055917986952
43,1.0
44,1.0
45,0.951818611242324
46,0.9350840336134454
47,1.0
48,1.0
49,0.9007936507936507
50,1.0
51,1.0
52,0.9022556390977443
53,0.9758141762452108
54,0.9527777777777777
55,0.8753561253561253
56,0.971850613154961
57,0.9552042160737813
58,0.9112249253094323
59,0.8355538637228779
60,1.0
61,0.8491136180499597
62,1.0
63,1.0
64,0.9438635112823335
65,0.9264285714285714
66,0.9758141762452108
67,0.9112249253094323
68,0.7835497835497836
69,0.8999618902439024
70,1.0
71,0.8153846153846154
72,0.8753561253561253
73,0.8333333333333333
74,0.8173170731707318
75,0.8471153846153847
76,1.0
77,0.8795454545454545
78,0.8968970934799686
79,1.0
80,1.0
81,0.8753561253561253
82,0.8616038433111604
83,0.8946835443037975
84,0.9015378844711177
85,0.7872822299651567
86,0.9150326797385621
87,0.9552042160737813
88,1.0
89,0.8816964285714286
90,0.9102787456445993
91,1.0
92,0.913871635610766
93,0.9319982394366197
94,1.0
95,1.0
96,0.9080866106937693
97,1.0
98,0.8534820031298904
99,1.0
100,0.8282988871224165
