time,test,domain,Segment,mean_probability,CI_lower,CI_upper,predicted_probability,n_obs
1.0,1,what,Early,0.6396304089171018,0.6030196379354534,0.6746862801075758,0.6359579419042107,100
26.37,2,what,Early,0.5134133009079812,0.47458750449869896,0.5520778946814104,0.5277241665626066,100
74.53,3,what,Late,0.4423933715555425,0.4063766727684645,0.47902629835511074,0.44545180930853906,100
147.13,4,what,Late,0.3957067276794734,0.36024517644277526,0.4323002276969453,0.3974955575364518,100
1.0,1,when,Early,0.5782257570808393,0.5408723441412221,0.6147050344394864,0.5791336707144796,100
26.37,2,when,Early,0.498193268860217,0.47480999163578885,0.5215844519015759,0.504207779246936,100
74.53,3,when,Late,0.5105794668112779,0.4790890267269436,0.5419861637560461,0.5149024135782823,100
147.13,4,when,Late,0.5154943902025876,0.4825050717455626,0.5483492296741503,0.5109160304644897,100
1.0,1,where,Early,0.6491339901790166,0.6105996347638577,0.6858171763191165,0.6476422375090062,100
26.37,2,where,Early,0.5347890910555333,0.4950503280090718,0.5740910674252804,0.5461595829975899,100
74.53,3,where,Late,0.45609250497949655,0.41901462489424784,0.4936635116361915,0.45586134091614483,100
147.13,4,where,Late,0.39200662332697495,0.35565431500122763,0.4295972916174399,0.3980706831252956,100
