time,test,domain,Segment,mean_theta,CI_lower,CI_upper,predicted_theta,n_obs
1.0,1,what,Early,0.6854353583399999,0.4840165626806539,0.886854153999346,0.6798257858467115,100
26.37,2,what,Early,0.08940166201000001,-0.11488991403874556,0.2936932380587456,0.14366758449177103,100
74.53,3,what,Late,-0.22914667665,-0.4245239949570649,-0.033769358342935096,-0.23280330952229641,100
147.13,4,what,Late,-0.33966137097,-0.5200602363728519,-0.15926250556714808,-0.327094069716768,100
1.0,1,when,Early,0.20400532970000002,-0.00897963150749917,0.4169902909074992,0.23639617304922655,100
26.37,2,when,Early,0.029739366190000015,-0.12946661187214528,0.1889453442521453,0.016125657978046225,100
74.53,3,when,Late,-0.11845619258499998,-0.29046570144689854,0.05355331627689855,-0.0934882059396485,100
147.13,4,when,Late,-0.11111596673899998,-0.35704981477005426,0.13481788129205433,-0.1334471168505137,100
1.0,1,where,Early,0.672126964078,0.49197675773891014,0.8522771704170898,0.6595048251099769,100
26.37,2,where,Early,0.12184292928000001,-0.05918452473710886,0.3028703832971089,0.17795601946312162,100
74.53,3,where,Late,-0.08892473310999999,-0.2593083798205288,0.08145891360052882,-0.10411187160759071,100
147.13,4,where,Late,-0.47764246621,-0.6539609314801659,-0.30132400093983414,-0.4271326440223014,100
