item_name,dimension,a,b
TQ_ICR-D-i1,common,0.51452565,0.9064637422561646
TQ_ICR-D-i2,common,0.71432745,1.3555893898010254
TQ_ICR-D-i3,congruent,1.1856698,0.527294397354126
TQ_ICR-D-i4,congruent,0.20775945,4.383796691894531
TQ_ICR-D-i5,incongruent,0.38459995,3.285820722579956
TQ_ICR-D-i6,incongruent,0.7950814,1.299342155456543
TQ_ICR-N-i1,common,1.4480014,-1.8331693410873413
TQ_ICR-N-i2,common,0.5391597,-2.909515857696533
TQ_ICR-N-i3,congruent,1.2007605,-2.5759530067443848
TQ_ICR-N-i4,congruent,1.1299182,-2.4046640396118164
TQ_ICR-N-i5,incongruent,1.4710974,-1.7273917198181152
TQ_ICR-N-i6,incongruent,1.0987056,-2.1420364379882812
TQ_ICR-O-i1,common,0.5822956,2.339747905731201
TQ_ICR-O-i3,congruent,0.60330296,1.0595229864120483
TQ_ICR-O-i4,congruent,0.35354742,2.773045539855957
TQ_ICR-U-i1,common,3.2976751,-0.19374671578407288
TQ_ICR-U-i2,common,0.84636027,-1.0245106220245361
TQ_ICR-U-i3,congruent,2.1547804,-0.4865902066230774
TQ_ICR-U-i4,congruent,0.51198477,-1.0253316164016724
TQ_ICR-U-i5,incongruent,2.863636,-0.07571519911289215
TQ_ICR-U-i6,incongruent,1.0410663,-0.48054274916648865
TQ_IFR-D-i1,common,0.4175971,1.559128999710083
TQ_IFR-D-i2,common,0.54786927,1.7217345237731934
TQ_IFR-D-i3,congruent,0.9744711,0.6926672458648682
TQ_IFR-N-i1,common,1.3697432,-0.28542375564575195
TQ_IFR-N-i2,common,0.60492206,-0.1704620122909546
TQ_IFR-N-i3,congruent,1.2600852,-0.3286806344985962
TQ_IFR-N-i4,congruent,0.451801,-0.839900016784668
TQ_IFR-N-i5,incongruent,1.3983432,0.4897957146167755
TQ_IFR-N-i6,incongruent,0.8110156,0.5616750717163086
TQ_IFR-O-i3,congruent,0.58152634,0.7920979857444763
TQ_IFR-U-i1,common,1.5741167,-0.008753400295972824
TQ_IFR-U-i2,common,0.63637114,-0.23762358725070953
TQ_IFR-U-i3,congruent,1.4576933,-0.07771223783493042
TQ_IFR-U-i4,congruent,0.3101283,-0.19306693971157074
TQ_IFR-U-i5,incongruent,1.1749486,0.3064262568950653
TQ_IFR-U-i6,incongruent,0.5576533,0.35457295179367065
TQ_IRE-D-i1,common,0.6222814,0.8612521886825562
TQ_IRE-D-i2,common,0.5245263,1.4297420978546143
TQ_IRE-D-i3,congruent,1.1867537,0.3388301432132721
TQ_IRE-D-i6,incongruent,0.80902493,1.1286569833755493
TQ_IRE-N-i1,common,1.465918,-2.4995059967041016
TQ_IRE-N-i4,congruent,1.0164882,-2.228189468383789
TQ_IRE-O-i1,common,0.50449264,2.353055238723755
TQ_IRE-O-i3,congruent,0.5786817,1.037846565246582
TQ_IRE-U-i1,common,2.2821665,-0.3237215280532837
TQ_IRE-U-i2,common,0.6947926,-1.7229841947555542
TQ_IRE-U-i3,congruent,2.480878,-0.5019624829292297
TQ_IRE-U-i4,congruent,0.5684058,-0.9318070411682129
TQ_IRE-U-i5,incongruent,2.5199838,-0.20131653547286987
TQ_IRE-U-i6,incongruent,0.809525,-0.857379138469696
